Project name,Data source,Core capacities,PHEICs (response funding),Funder,Funder type,"Funder including specific sub-organization, if any",Recipient,Recipient type,"Recipient including specific sub-organization, if any",Support type,Transaction year range,Amount committed,Amount disbursed,Response-specific transaction year range,Response-specific amount committed,Response-specific amount disbursed,Transaction currency
United States funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"3,500,000,000.00",,2021,"3,500,000,000.00",0.00,USD
United States funds Global Fund for COVID-19 Response,EIU Tracker 03-Aug-2021,Unspecified,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Direct financial support,2021,"2,700,000,000.00",,2021,"2,700,000,000.00",0.00,USD
European Investment Bank funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,European Union,Government,European Union (European Investment Bank),World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,"2,025,044,367.00",,2020,"2,025,044,367.00",0.00,USD
United States funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,Unspecified,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"1,500,000,000.00",,2021,"1,500,000,000.00",0.00,USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Indonesia,Government,Indonesia,Direct financial support,2020 - 2021,"1,005,276,987.56","1,040,829,839.88",2020 - 2021,"1,005,276,987.56","1,040,829,839.88",USD
COVID-19 Financial Access DPF,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Mexico,Government,Mexico,Direct financial support,2020 - 2021,"1,000,000,000.00","1,000,000,000.00",2020 - 2021,"1,000,000,000.00","1,000,000,000.00",USD
India COVID-19 Emergency Response and Health Systems Preparedness Project,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),India,Government,India,Direct financial support,2020 - 2021,"1,000,000,000.00","705,383,903.00",2020 - 2021,"1,000,000,000.00","705,383,903.00",USD
Emergency Support Program for vulnerable populations affected by Coronavirus,IATI Registry,,2019-2021 COVID-19 Pandemic,Inter-American Development Bank,Organization,Inter-American Development Bank,Brazil,Government,Brazil,Direct financial support,2020 - 2021,"1,000,000,000.00","1,000,000,000.00",2020 - 2021,"1,000,000,000.00","1,000,000,000.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Thailand,Government,Thailand,Direct financial support,2020 - 2021,"1,000,000,000.00","250,000,000.00",2020 - 2021,"1,000,000,000.00","250,000,000.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,India,Government,India,Direct financial support,2020 - 2021,"1,000,000,000.00","1,000,000,000.00",2020 - 2021,"1,000,000,000.00","1,000,000,000.00",USD
Brazil: Income Support for the Poor affected by COVID-19,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Brazil,Government,Brazil,Direct financial support,2020 - 2021,"1,000,000,000.00","2,500,000.00",2020 - 2021,"1,000,000,000.00","2,500,000.00",USD
Germany funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Germany,Government,Germany,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"999,540,000.00",,2021,"999,540,000.00",0.00,USD
NBE LOAN FOR SMES AND MIDCAPS COVID-19,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Egypt,Government,Egypt,Direct financial support,2020,"973,245,302.82",,2020,"973,245,302.82",0.00,USD
Japan funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Japan,Government,Japan,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"800,000,000.00",,2021,"800,000,000.00",0.00,USD
United States funds Global Fund for COVID-19 Response,EIU Tracker 03-Aug-2021,Unspecified,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Organization,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Direct financial support,2021,"800,000,000.00",,2021,"800,000,000.00",0.00,USD
NIGERIA: COVID-19 Action Recovery and Economic Stimulus Program,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Nigeria,Government,Nigeria,Direct financial support,2020 - 2021,"750,000,000.00",0.00,2020 - 2021,"750,000,000.00",0.00,USD
Indonesia: Emergency Response to COVID19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Indonesia,Government,Indonesia,Direct financial support,2020 - 2021,"750,000,000.00","250,000,000.00",2020 - 2021,"750,000,000.00","250,000,000.00",USD
Peru: Strengthening Foundations for Post COVID-19 Recovery DPF,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Peru,Government,Peru,Direct financial support,2021,"750,000,000.00",0.00,2021,"750,000,000.00",0.00,USD
European Commission funds Multiple recipients (Horizon 2020) for COVID-19 Response,EIU Tracker 03-Aug-2021,Unspecified,2019-2021 COVID-19 Pandemic,European Union,Government,European Union (European Commission),Not reported,Other,Not reported,Direct financial support,2020 - 2021,"734,444,620.00","734,444,620.00",2020 - 2021,"734,444,620.00","734,444,620.00",USD
United Kingdom funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,United Kingdom,Government,United Kingdom,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2020 - 2021,"672,400,000.00","672,400,000.00",2020 - 2021,"672,400,000.00","672,400,000.00",USD
