"Recipient","Funder.Type","Funder.Type.Committed","Funder.Type.Disbursed","Democracy.Score","Political.Rights","Civil.Liberties","X2019.FDI.Inflows","X2019.GNI.Per.Capita","X2018.Health.Expenditures","X2020.Population","X2019.Dev..Asst.","Ready.Score","Prevent.Score","Detect.Score","Respond.Score","other","Amount.Committed.Individual","Amount.Disbursed.Individual","Projects","Democracy.Category","Cases","Deaths","Per.Capita.Committed","Per.Capita.Disbursed","Per.Capita.Cases","Per.Capita.Deaths","Per.hundredk.Cases","Per.hundredk.Deaths","Funder.Type.Per.Capita.Disbursed"
"Afghanistan","Government",23406135.2583333,43532168.26875,27,13,14,23404553.65,530,49.84260941,38928341,4284419922,38,32,48,48,20,678226073.118056,459006125.888715,145,"Not Free",155287,7212,17.4224242722816,11.7910528447312,0.00398904746544426,0.000185263481944941,398.904746544426,18.5263481944941,1.11826415281221
"Albania","Government",19501278.43,17266323.62,66,27,39,1201022154,5220,274.914093,2837743,28409999.85,62,68,73,49,57,37235872.43,21489602.62,32,"Partly Free",171794,2713,13.1216507026887,7.57277971260963,0.060538956487603,0.000956041473805063,6053.8956487603,95.6041473805063,6.08452690042756
"Angola","Government",4174844.17,2475161.27,31,10,21,-4098478748,2970,87.61676788,32866268,49540000.92,42,38,45,54,30,29337782.72,11265084.87,20,"Not Free",58943,1577,0.892641133456345,0.342755218511575,0.00179341931977187,4.79823264387669e-05,179.341931977187,4.79823264387669,0.0753100799275415
"Armenia","Government",35924615.42,30035088.49,55,22,33,254077251.7,4680,422.2826843,2963234,419730011,90,93,80,98,83,77890770.53,37304406.22,32,"Partly Free",265317,5397,26.2857305666714,12.5890855126527,0.0895362971672166,0.00182132089467116,8953.62971672166,182.132089467116,10.1359151825337
"Bangladesh","Government",126380699.66525,129962666.6025,39,15,24,1908045387,1940,41.90905762,164689383,4482600098,50,58,70,32,33,1378129678.12942,759436037.915576,184,"Partly Free",1558758,27591,8.36805416976647,4.61132359646751,0.00946483599370823,0.00016753356832966,946.483599370823,16.753356832966,0.789138098856682
"Benin","Government",38238159.3884849,1428799.09204545,65,21,44,218207871.7,1250,30.9390583,12123198,602210022,34,31,54,32,20,149976629.048485,30405201.4720455,39,"Partly Free",23890,159,12.3710450863283,2.50801822027863,0.00197060214639734,1.31153512464285e-05,197.060214639734,1.31153512464285,0.117856616055059
"Bhutan","Government",134653.86125,132171.575,61,30,31,13011377.29,3140,102.7385178,771612,181410003.7,44,55,53,31,27,29282353.86125,28262597.765,14,"Partly Free",2608,3,37.9495832895937,36.6279914840619,0.00337993706681596,3.88796441734965e-06,337.993706681596,0.388796441734965,0.171292793528354
"Botswana","Government",1340043.53058824,240666.019411765,72,28,44,260928016.9,7660,482.9630737,2351625,68860000.61,40,40,52,34,37,2606726.13058823,2896271.62941176,16,"Free",179220,2368,1.10847866075086,1.23160437119514,0.07621113060118,0.0010069632700792,7621.113060118,100.69632700792,0.10234030485803
"Burkina Faso","Government",24983032.8272549,43296891.6344118,54,23,31,162970140.3,780,40.24945068,20903278,1148810059,34,34,53,28,20,72733404.8268004,152454767.534957,73,"Partly Free",14341,187,3.47952148111891,7.29334258172126,0.000686064644980562,8.9459653170187e-06,68.6064644980562,0.89459653170187,2.07129674276024
"Burundi","Government",1824592.46666667,4097899.36533333,14,4,10,1044960.501,280,24.02547073,11890781,588940002.4,30,33,41,25,20,9425932.405,15242922.4672424,26,"Not Free",18271,38,0.79270927662363,1.28191095835021,0.00153656853994704,3.19575307963371e-06,153.656853994704,0.319575307963371,0.344628276757711
"Cambodia","Government",11055746.5125,20209062.8583333,24,5,19,3663032999,1530,90.55628204,16718971,984070007.3,48,57,54,36,40,368699042.3875,301952708.048333,52,"Not Free",113475,2406,22.0527353260856,18.0604839884185,0.00678720000172259,0.000143908378093365,678.720000172259,14.3908378093365,1.20875039847448
"Cameroon","Government",28456976.8379487,25693349.753782,16,7,9,1024779238,1500,54.13952637,26545864,1335219971,38,38,53,35,27,194749912.555171,187382379.350247,64,"Not Free",92303,1459,7.33635614780408,7.0588163696705,0.00347711417492382,5.49614810051012e-05,347.711417492382,5.49614810051012,0.967885232659297
"Central African Republic","Government",31992887.761,32109043.423,9,3,6,25601157.42,520,53.66416168,4829764,753849975.6,26,26,31,27,20,76015472.441,86171076.0963333,83,"Not Free",11385,100,15.7389620778572,17.8416742715241,0.00235725803579637,2.07049454176229e-05,235.725803579637,2.07049454176229,6.64815991485298
"Chad","Government",11723354.3316667,14520472.8916667,17,3,14,566638950.9,700,29.23851013,16425859,707049987.8,29,32,40,23,20,118462485.351667,120353874.082576,44,"Not Free",5044,174,7.2119507023448,7.32709772332611,0.000307076786669117,1.05930533069838e-05,30.7076786669117,1.05930533069838,0.884000824046199
"Comoros","Government",608278.31,0,42,16,26,3677361.421,1400,65.22776031,869595,78239997.86,34,38,46,27,20,50756957.3,33644572.99,9,"Partly Free",4155,147,58.3685017738142,38.6899338082671,0.00477808635054249,0.000169044210235799,477.808635054249,16.9044210235799,0
"Congo","Government",21605116.65,3900063.84,20,2,18,3366085029,1810,47.5177536,5518092,187270004.3,28,30,39,23,20,97731916.65,41885896.89,23,"Not Free",NA,NA,17.7111792717483,7.59064852307645,NA,NA,NA,NA,0.706777603562971
"Democratic Republic of the Congo","Government",81851736.997,83084699.469,20,5,15,1350994226,530,18.51088905,89561404,3025530029,35,37,53,25,27,494148439.219045,300919130.117045,146,"Not Free",NA,NA,5.51742622546477,3.35991974977352,NA,NA,NA,NA,0.927684200540224
"Djibouti","Government",3108278.31,938584.32,24,5,19,1.75e+08,3310,70.86093903,988002,272480011,31,35,38,23,23,68379803.31,30199919.32,13,"Not Free",12976,172,69.2101871352487,30.5666580836881,0.0131335766526788,0.000174088716419602,1313.35766526788,17.4088716419602,0.949982206513752
"Eritrea","Government",0,383489.07,2,1,1,67116000,NA,23.78602791,NA,276929992.7,46,49,58,43,30,550000,383639.07,4,"Not Free",6723,42,NA,NA,NA,NA,NA,NA,NA
"Eswatini","Government",2487870.6,690646.32,19,1,18,127970922,3670,271.1400757,1160164,73400001.53,36,36,47,33,27,13710537.57,10501042.64,17,"Not Free",46097,1224,11.8177581531577,9.05134329284481,0.0397331756544764,0.00105502325533287,3973.31756544764,105.502325533287,0.595300595433059
"Ethiopia","Government",119851041.630827,112496191.370878,22,9,13,2516228020,850,24.22611809,114963583,4809970215,52,56,59,50,33,858909770.780928,491593058.431265,179,"Not Free",349231,5765,7.47114650020023,4.27607635046713,0.00303775326835455,5.01463145942485e-05,303.775326835455,5.01463145942485,0.978537624135099
"Gabon","Government",61651876.37,6221261.06,22,3,19,1553136883,7170,218.3686066,2225728,116709999.1,27,22,40,25,23,194613624.04,136181076.17,16,"Not Free",31058,194,87.4381883320873,61.1849588853625,0.013954086033873,8.71624924519079e-05,1395.4086033873,8.71624924519079,2.79515783599793
"Gambia","Government",28881.7508333333,341264.600833333,46,20,26,32266071.55,750,22.15542793,2416664,194039993.3,32,34,38,30,27,37368886.7908333,33204998.0408333,18,"Partly Free",9935,338,15.4630047002121,13.7400143507055,0.00411103901907754,0.000139862223296246,411.103901907754,13.9862223296246,0.141213094097207
"Georgia","Government",253723082.05,305349284.27,60,23,37,1341122820,4690,312.7469177,3714000,496730011,57,60,79,45,43,618220477.585,657532070.97,41,"Partly Free",618620,9068,166.456779102046,177.041483836834,0.166564351103931,0.00244157242864836,16656.4351103931,244.157242864836,82.2157469763059
"Ghana","Government",15548996.6465731,12657351.7818739,82,35,47,3879831470,2210,77.91143036,31072945,936320007.3,45,48,51,36,47,499507990.966573,197294078.141874,73,"Free",127482,1156,16.075334699256,6.34938458977332,0.00410266873642006,3.72027820343389e-05,410.266873642006,3.72027820343389,0.407343165634087
"Guinea","Government",3041744.255,2698018.765,38,14,24,44400000,950,38.31764221,13132792,580679992.7,35,39,52,25,20,73044119.315,78523136.5216667,29,"Partly Free",30445,381,5.56196422778949,5.97916547537391,0.00231824276208745,2.90113480819615e-05,231.824276208745,2.90113480819615,0.205441368826979
"Indonesia","Government",2512192.16,10587340.5683333,59,30,29,24993551748,4050,111.6779099,273523621,-629950012.2,64,60,64,67,63,2777848176.70833,2106201696.83548,50,"Partly Free",4220206,142261,10.1557889828767,7.70025524353334,0.01542903674853,0.000520104989396875,1542.903674853,52.0104989396876,0.0387072258316342
"Iraq","Government",58683223.7901389,78069573.1301389,29,16,13,-3075600000,5490,239.4130554,40222503,2211909912,46,41,50,47,53,129683902.032361,126380819.747694,71,"Not Free",2011634,22392,3.22416290284971,3.14204264582178,0.0500126508785393,0.00055670329616235,5001.26508785393,55.670329616235,1.94094268897535
"Jordan","Government",127171786.880556,79666392.1030556,34,11,23,825492957.7,4410,330.1418762,10203140,2797189941,57,55,62,63,47,880529019.290556,202136809.575198,75,"Not Free",827504,10753,86.2998076367232,19.8112355191832,0.0811028761734133,0.00105389125308483,8110.28761734133,105.389125308483,7.80802695082647
