"","Recipient","Democracy.Score","Political.Rights","Civil.Liberties","X2019.FDI.Inflows","X2019.GNI.Per.Capita","X2018.Health.Expenditures","X2020.Population","Ready.Score","Prevent.Score","Detect.Score","Respond.Score","other","Amount.Committed.Individual","Amount.Disbursed.Individual","Projects","Democracy.Category","Cases","Deaths","Per.Capita.Committed","Per.Capita.Disbursed","Per.Capita.Cases","Per.Capita.Deaths","Per.hundredk.Cases","Per.hundredk.Deaths","country_code","2015 Dev. Asst.","2016 Dev. Asst.","2017 Dev. Asst.","2018 Dev. Asst.","2019 Dev. Asst."
"1","Afghanistan",27,13,14,23404553.65,530,49.84260941,38928341,38,32,48,48,20,678226073.118056,459006125.888715,145,"Not Free",155287,7212,17.4224242722816,11.7910528447312,0.00398904746544426,0.000185263481944941,398.904746544426,18.5263481944941,"AFG",4274229980,4069419922,3811739990,3792449951,4284419922
"2","Albania",66,27,39,1201022154,5220,274.914093,2837743,62,68,73,49,57,37235872.43,21489602.62,32,"Partly Free",171794,2713,13.1216507026887,7.57277971260963,0.060538956487603,0.000956041473805063,6053.8956487603,95.6041473805063,"ALB",335160003.7,171039993.3,168350006.1,344320007.3,28409999.85
"3","Angola",31,10,21,-4098478748,2970,87.61676788,32866268,42,38,45,54,30,29337782.72,11265084.87,20,"Not Free",58943,1577,0.892641133456345,0.342755218511575,0.00179341931977187,0.0000479823264387669,179.341931977187,4.79823264387669,"AGO",380059997.6,206529998.8,223220001.2,162660003.7,49540000.92
"4","Armenia",55,22,33,254077251.7,4680,422.2826843,2963234,90,93,80,98,83,77890770.53,37304406.22,32,"Partly Free",265317,5397,26.2857305666714,12.5890855126527,0.0895362971672166,0.00182132089467116,8953.62971672166,182.132089467116,"ARM",347480011,326429992.7,257540008.5,141619995.1,419730011
"5","Australia",97,40,57,39897440703,55100,5425.340332,25687041,92,96,93,85,93,0,9606,3,"Free",115800,1357,0,0.000373962886577711,0.00450810975074941,0.0000528281945748442,450.810975074941,5.28281945748442,"AUS",NA,NA,NA,NA,NA
"6","Bangladesh",39,15,24,1908045387,1940,41.90905762,164689383,50,58,70,32,33,1378129678.12942,759436037.915576,184,"Partly Free",1558758,27591,8.36805416976647,4.61132359646751,0.00946483599370823,0.00016753356832966,946.483599370823,16.753356832966,"BGD",2592909912,2532820068,3781770020,3044679932,4482600098
"7","Benin",65,21,44,218207871.7,1250,30.9390583,12123198,34,31,54,32,20,149976629.048485,30405201.4720455,39,"Partly Free",23890,159,12.3710450863283,2.50801822027863,0.00197060214639734,0.0000131153512464285,197.060214639734,1.31153512464285,"BEN",436630004.9,500760009.8,680000000,574619995.1,602210022
"8","Bhutan",61,30,31,13011377.29,3140,102.7385178,771612,44,55,53,31,27,29282353.86125,28262597.765,14,"Partly Free",2608,3,37.9495832895937,36.6279914840619,0.00337993706681596,0.00000388796441734965,337.993706681596,0.388796441734965,"BTN",97279998.78,51599998.47,118540000.9,107919998.2,181410003.7
"9","Botswana",72,28,44,260928016.9,7660,482.9630737,2351625,40,40,52,34,37,2606726.13058823,2896271.62941176,16,"Free",179220,2368,1.10847866075086,1.23160437119514,0.07621113060118,0.0010069632700792,7621.113060118,100.69632700792,"BWA",65540000.92,90569999.69,102089996.3,85750000,68860000.61
"10","Burkina Faso",54,23,31,162970140.3,780,40.24945068,20903278,34,34,53,28,20,72733404.8268004,152454767.534957,73,"Partly Free",14341,187,3.47952148111891,7.29334258172126,0.000686064644980562,0.0000089459653170187,68.6064644980562,0.89459653170187,"BFA",998390014.6,1029479980,892150024.4,1108790039,1148810059
