,country,2019 GNI Per Capita,2018 Health Expenditures,2019 FDI Inflows,Per.hundredk.Cases,Per.hundredk.Deaths,samp_status
1,Afghanistan,530,49.84260941,23404553.65,398.9047465,18.52634819,In-Sample
2,Albania,5220,274.914093,1201022154,6053.895649,95.60414738,In-Sample
5,Angola,2970,87.61676788,-4098478748,179.341932,4.798232644,In-Sample
8,Armenia,4680,422.2826843,254077251.7,8953.629717,182.1320895,In-Sample
9,Australia,55100,5425.340332,39897440703,450.8109751,5.282819457,In-Sample
14,Bangladesh,1940,41.90905762,1908045387,946.4835994,16.75335683,In-Sample
19,Benin,1250,30.9390583,218207871.7,197.0602146,1.311535125,In-Sample
20,Bhutan,3140,102.7385178,13011377.29,337.9937067,0.388796442,In-Sample
23,Botswana,7660,482.9630737,260928016.9,7621.11306,100.696327,In-Sample
27,Burkina Faso,780,40.24945068,162970140.3,68.6064645,0.894596532,In-Sample
28,Burundi,280,24.02547073,1044960.501,153.656854,0.319575308,In-Sample
30,Cabo Verde,3630,194.8568726,107810523.9,6773.167766,61.51211897,In-Sample
31,Cambodia,1530,90.55628204,3663032999,678.7200002,14.39083781,In-Sample
32,Cameroon,1500,54.13952637,1024779238,347.7114175,5.496148101,In-Sample
33,Canada,46460,4994.902344,45087716090,4338.722994,73.81614082,In-Sample
34,Central African Republic,520,53.66416168,25601157.42,235.7258036,2.070494542,In-Sample
35,Chad,700,29.23851013,566638950.9,30.70767867,1.059305331,In-Sample
39,Comoros,1400,65.22776031,3677361.421,477.8086351,16.90442102,In-Sample
40,Congo,1810,47.5177536,3366085029,263.8774417,3.606318996,In-Sample
46,Democratic Republic of the Congo,530,18.51088905,1350994226,63.68144921,1.212575899,In-Sample
48,Djibouti,3310,70.86093903,175000000,1313.357665,17.40887164,In-Sample
55,Eritrea,NA,23.78602791,67116000,NA,NA,In-Sample
57,Eswatini,3670,271.1400757,127970922,3973.317565,105.5023255,In-Sample
58,Ethiopia,850,24.22611809,2516228020,303.7753268,5.014631459,In-Sample
62,Gabon,7170,218.3686066,1553136883,1395.408603,8.716249245,In-Sample
63,Gambia,750,22.15542793,32266071.55,411.1039019,13.98622233,In-Sample
64,Georgia,4690,312.7469177,1341122820,16656.43511,244.1572429,In-Sample
66,Ghana,2210,77.91143036,3879831470,410.2668736,3.720278203,In-Sample
70,Guinea,950,38.31764221,44400000,231.8242762,2.901134808,In-Sample
79,Indonesia,4050,111.6779099,24993551748,1542.903675,52.01049894,In-Sample
81,Iraq,5490,239.4130554,-3075600000,5001.265088,55.67032962,In-Sample
86,Japan,41580,4266.586914,39932871887,1358.37496,14.11042709,In-Sample
87,Jordan,4410,330.1418762,825492957.7,8110.287617,105.3891253,In-Sample
89,Kenya,1750,88.38527679,1332436904,465.2872443,9.560862393,In-Sample
91,Kuwait,36290,1711.223389,515617569.4,9644.044591,57.41631724,In-Sample
92,Kyrgyzstan,1240,85.73608398,278859100,2712.285333,39.56550762,In-Sample
93,Lao People's Democratic Republic,2490,57.11195755,755524124.2,350.8185491,0.302382388,In-Sample
95,Lebanon,7420,686.4677734,2223271880,9174.468115,122.424306,In-Sample
96,Lesotho,1290,124.7896729,117671911.4,997.2216154,30.34190189,In-Sample
97,Liberia,580,45.42477798,86681700.46,114.6573812,5.654769967,In-Sample
98,Libya,7640,NA,NA,4985.354272,68.42968428,In-Sample
102,Madagascar,510,22.0497551,474311425.4,154.9166537,3.459605441,In-Sample
103,Malawi,550,35.49821854,98422743.26,322.1073965,11.93939034,In-Sample
104,Malaysia,11230,427.217041,9101052111,7061.855469,82.67627033,In-Sample
105,Maldives,9670,973.5369263,961146508.8,15744.75249,42.91988412,In-Sample
106,Mali,870,34.95166016,493823353.8,75.56725812,2.715937526,In-Sample
108,Marshall Islands,5010,643.065918,4177233.798,6.757441633,0,In-Sample
109,Mauritania,1660,54.48972321,-883561115.8,777.7557929,16.73240624,In-Sample
110,Mauritius,12900,653.347229,472302807.1,1246.385514,7.110465024,In-Sample
113,Mongolia,3790,155.0936737,2443343095,9528.620391,41.08846924,In-Sample
114,Montenegro,9070,731.4816895,418205414.7,21393.13965,312.5211109,In-Sample
115,Morocco,3200,174.7818451,1720825003,2534.667723,38.89131126,In-Sample
116,Mozambique,490,40.26391602,2180768236,482.4984839,6.139732178,In-Sample
117,Myanmar,1360,59.20605469,1735589413,863.4144066,32.93708482,In-Sample
118,Namibia,5180,471.4856873,-176478261.6,5032.122274,138.4146505,In-Sample
121,New Zealand,42610,4037.462891,2943285693,86.71793561,0.531046555,In-Sample
123,Niger,600,30.35857964,717147639.4,24.96009772,0.838613015,In-Sample
124,Nigeria,2030,83.75351715,2305099812,100.0676304,1.321434684,In-Sample
